Pos,Documento,Coseno
1,en/articles/j/f/i/JFin_1830.html,0.112677
2,en/articles/g/u/o/Guo_Youzhi_8db1.html,0.099489
3,en/articles/p/l/a/PLAPACK_fb37.html,0.092886
4,en/articles/r/o/x/ROX_Desktop_b4f8.html,0.089149
5,en/articles/p/o/r/Portable_object_(computing).html,0.081960
6,en/articles/b/c/x/BCX_3407.html,0.081941
7,en/articles/l/o/u/Lout.html,0.080354
8,en/articles/c/l/a/Class_(computer_science).html,0.080312
9,en/articles/s/i/n/SinoVision_32c9.html,0.075552
10,en/articles/s/t/e/Stellarium.html,0.073170
11,en/articles/w/i/n/Winter_solstice_(disambiguation).html,0.070143
12,en/articles/z/e/n/Zend_Framework_a5ef.html,0.065289
13,en/articles/w/i/l/Wilpattu_National_Park_cf60.html,0.056736
14,en/articles/d/e/f/Defeasible_logic.html,0.054400
15,en/articles/l/i/s/List_of_asteroids_103401–103500_2761.html,0.052554
16,en/articles/d/a/v/David_Munro_e903.html,0.052357
17,en/articles/l/i/s/List_of_asteroids_107601–107700_418f.html,0.050791
18,en/articles/h/a/s/Haskell_Curry_f97c.html,0.049746
19,en/articles/p/r/i/Prince_XML_03cf.html,0.049085
20,en/articles/c/l/x/CLX_(Common_Lisp)_1911.html,0.047685
21,en/articles/g/r/a/Graphical_user_interface_builder.html,0.046209
22,en/articles/s/k/y/Skypath.html,0.044828
23,en/articles/o/n/s/OnStage_2e81.html,0.042610
24,en/articles/r/e/g/Regi-Stick_259a.html,0.041143
25,en/articles/w/f/v/WFVX-LP_6627.html,0.040945
26,en/articles/c/t/c/CTC_Media_7331.html,0.040784
27,en/articles/c/a/l/Calculator_spelling.html,0.038577
28,en/articles/p/o/n/Pontius_Pilate's_wife_80f1.html,0.036998
29,en/articles/m/o/n/Monad.html,0.036633
30,en/articles/x/i/t/Xito.html,0.035944
31,en/articles/w/j/t/WJTS-LP_27d9.html,0.035548
32,en/articles/k/a/n/Kangchenjunga_(disambiguation).html,0.035205
33,en/articles/r/á/d/Rádio_e_Televisão_de_Portugal_a781.html,0.033842
34,en/articles/g/o/g/GoGo_board_8d64.html,0.033122
35,en/articles/c/a/p/Capriccio.html,0.032994
36,en/articles/u/n/i/Universal_Robotics_0bd1.html,0.032894
37,en/articles/r/o/s/Roshan_Abbas_dfb4.html,0.032540
38,en/articles/t/o/n/Tonfön_Television_b570.html,0.032482
39,en/articles/k/a/t/Kathy_Sierra_ebaf.html,0.032243
40,en/articles/a/b/c/ABC_In_Concert_6d5f.html,0.032237
41,en/articles/p/u/s/Pushd_and_popd.html,0.031807
42,en/articles/m/i/c/Microsoft_Dynamics_AX_71bb.html,0.031626
43,en/articles/t/h/e/The_Great_Lake_5c36.html,0.031307
44,en/articles/c/h/e/Checkin'_out_the_Ghosts_27d4.html,0.031306
45,en/articles/l/y/n/LynxOS_dd39.html,0.031250
46,en/articles/t/e/l/Telecare_(TV_Network)_7f29.html,0.030983
47,en/articles/l/i/s/List_of_Arrow_Dynamics_roller_coasters_ca82.html,0.030473
48,en/articles/c/r/a/Cray_Time_Sharing_System_f2bd.html,0.029618
49,en/articles/c/u/l/Culture_of_Denmark_9881.html,0.029593
50,en/articles/p/h/i/Philcon.html,0.027959
